	difference	favorable	unfavorable
-22	-0.25525952688061798	-0.22940634062016671	0.19142346539341332
-21	-0.24660061173850853	-0.2346873143195109	0.16777725045480457
-20	-0.23462497940928892	-0.22214027731400712	0.16156052926315875
-19	-0.23469757182712839	-0.22564270312671814	0.15754092861930846
-18	-0.21893586368479784	-0.21091178152845411	0.14709620102178264
-17	-0.21489886148991952	-0.21972997417940418	0.12973705021338164
-16	-0.1785826411697844	-0.20852471146286078	0.076147570100315989
-15	-0.14846441471548902	-0.20338092514853787	0.02291510265022751
-14	-0.11348382242592744	-0.18902713885198483	-0.027630212607263747
-13	-0.061025600664981493	-0.15380567860865141	-0.084628812362922412
-12	-0.014884678596430037	-0.12015603994349881	-0.13021436722607407
-11	0.03516022579195071	-0.075420990227118415	-0.1671083593481518
-10	0.066209375452643979	-0.051448767535329967	-0.19586700481672806
-9	0.091848243813059866	-0.024424668360573304	-0.21035818624759306
-8	0.072756910238532077	-0.044472440607788974	-0.19926736661864131
-7	0.032728438628744715	-0.084886760139879752	-0.17431129441589471
-6	0.022819912072733036	-0.091261564814636487	-0.1633223953607679
-5	0.026437644756612939	-0.088337729403296206	-0.1664231906063551
-4	0.023382098715035698	-0.075490053515298833	-0.14435924835669009
-3	0.032512900039389434	-0.057787182216941541	-0.1387708008965064
-2	0.061278941076629435	-0.0031969387000270809	-0.12313463054951299
-1	0.049728350940395322	0.016109157032891879	-0.075462390029903334
0	0.024458464618910811	0.0064388521475464708	-0.038939281795060843
1	0.00035516929849949163	-0.0042913887733027197	-0.0060949398225560109
2	-0.033912714751455568	-0.023551326821992569	0.036022842164114485
3	-0.067036912915312732	-0.050949087405412999	0.065818263793730597
4	-0.11757285263419721	-0.098345581895928208	0.10421602094177994
5	-0.1551418143276295	-0.12676667597517316	0.14121678568693155
6	-0.19616825301146723	-0.17768190857041913	0.15674507448322261
7	-0.21977886482446912	-0.21721220179346531	0.15272806026761196
8	-0.21789170645633513	-0.22294393327048947	0.14184378274936224
9	-0.24043399621700337	-0.26049599134506296	0.13824241554573066
10	-0.2722414898077406	-0.30200744919556666	0.14835485496543693
11	-0.3122248938035122	-0.35497962156586854	0.15933811497134695
12	-0.34016614492259956	-0.38319166700240664	0.17622396258399117
13	-0.38221287120111747	-0.4319340229274013	0.19058092517993735
14	-0.39147876978706431	-0.45833787577845292	0.16913484455371666
15	-0.36822301363510335	-0.44653177307873465	0.1369518559360986
16	-0.36644578754169121	-0.4487294222649364	0.13015358656109377
17	-0.36432837124526962	-0.4484281540586289	0.12632380591660758
18	-0.38941379473622012	-0.46480223926895403	0.15207302402364703
19	-0.39383462241839418	-0.4472908770526221	0.1815716738736288
20	-0.39373868825867431	-0.4304813675063357	0.20473257733451838
